Title,Type_ID,Genre_ID,Year,IMDB_Score,Netflix_Original
Together,movie,"Comedy, Drama, Romance",2000,7.4,FALSE
Top Gun,movie,"Action, Drama",1986,6.9,FALSE
The Last Emperor,movie,"Biography, Drama, History",1987,7.7,FALSE
Shaun of the Dead,movie,"Comedy, Horror",2004,7.9,FALSE
V for Vendetta,movie,"Action, Drama, Sci-Fi",2005,8.1,FALSE
Monty Python and the Holy Grail,movie,"Adventure, Comedy, Fantasy",1975,8.2,FALSE
The Evil Dead,movie,Horror,1981,7.4,FALSE
Harry Potter and the Half-Blood Prince,movie,"Action, Adventure, Family",2009,7.6,FALSE
Goodfellas,movie,"Biography, Crime, Drama",1990,8.7,FALSE
Gandhi,movie,"Biography, Drama, History",1982,8,FALSE
Kolya,movie,"Comedy, Drama, Music",1996,7.7,FALSE
Mr. & Mrs. Smith,movie,"Action, Comedy, Crime",2005,6.5,FALSE
Closely Watched Trains,movie,"Comedy, Drama, Romance",1966,7.6,FALSE
The Fog,movie,"Horror, Mystery",2005,3.7,FALSE
City of Angels,movie,"Drama, Fantasy, Romance",1998,6.7,FALSE
Persona,movie,"Drama, Thriller",1966,8,FALSE
Se7en,movie,"Crime, Drama, Mystery",1995,8.6,FALSE
Airplane!,movie,Comedy,1980,7.7,FALSE
Austin Powers: International Man of Mystery,movie,"Adventure, Comedy",1997,7,FALSE
Austin Powers: The Spy Who Shagged Me,movie,"Action, Adventure, Comedy",1999,6.7,FALSE
Chinatown,movie,"Drama, Mystery, Thriller",1974,8.1,FALSE
Underworld: Evolution,movie,"Action, Fantasy, Thriller",2006,6.7,FALSE
Barren Lives,movie,Drama,1963,7.5,FALSE
Close Encounters of the Third Kind,movie,"Drama, Sci-Fi",1977,7.6,FALSE
Dune,movie,"Action, Adventure, Sci-Fi",1984,6.3,FALSE
In the Mood for Love,movie,"Drama, Romance",2000,8.1,FALSE
2046,movie,"Drama, Romance, Sci-Fi",2004,7.4,FALSE
The Mask,movie,"Comedy, Crime, Fantasy",1994,7,FALSE
Black Hawk Down,movie,"Action, Drama, History",2001,7.7,FALSE
Saving Private Ryan,movie,"Drama, War",1998,8.6,FALSE
Sleepless in Seattle,movie,"Comedy, Drama, Romance",1993,6.8,FALSE
The Running Man,movie,"Action, Sci-Fi, Thriller",1987,6.6,FALSE
Tsotsi,movie,"Crime, Drama",2005,7.2,FALSE
A Man for All Seasons,movie,"Biography, Drama, History",1966,7.7,FALSE
Cinderella Man,movie,"Biography, Drama, Romance",2005,8,FALSE
Dawn of the Dead,movie,Horror,2004,7.2,FALSE
Godzilla,movie,"Action, Sci-Fi, Thriller",1998,5.4,FALSE
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,movie,"Comedy, War",1964,8.3,FALSE
Lawrence of Arabia,movie,"Adventure, Biography, Drama",1962,8.3,FALSE
Halloween,movie,"Horror, Thriller",1978,7.7,FALSE
Kindergarten Cop,movie,"Action, Comedy, Crime",1990,6.2,FALSE
Madagascar,movie,"Adventure, Animation, Comedy",2005,6.9,FALSE
Mission: Impossible,movie,"Action, Adventure, Thriller",1996,7.2,FALSE
Mission: Impossible II,movie,"Action, Adventure, Thriller",2000,6.1,FALSE
Mission: Impossible III,movie,"Action, Adventure, Thriller",2006,6.9,FALSE
Seven Years in Tibet,movie,"Adventure, Biography, Drama",1997,7.1,FALSE
Irreversible,movie,"Crime, Drama, Mystery",2002,7.3,FALSE
Whale Rider,movie,"Drama, Family",2002,7.5,FALSE
Point Break,movie,"Action, Crime, Thriller",1991,7.3,FALSE
The Thirteenth Floor,movie,"Mystery, Sci-Fi, Thriller",1999,7,FALSE
The Prestige,movie,"Drama, Mystery, Sci-Fi",2006,8.5,FALSE
Dreamgirls,movie,"Drama, Musical",2006,6.6,FALSE
Babel,movie,Drama,2006,7.5,FALSE
The Queen,movie,"Biography, Drama",2006,7.3,FALSE
The Remains of the Day,movie,"Drama, Romance",1993,7.8,FALSE
Hannibal Rising,movie,"Adventure, Crime, Drama",2007,6.1,FALSE
Ghost Rider,movie,"Action, Fantasy, Thriller",2007,5.3,FALSE
Letters from Iwo Jima,movie,"Action, Adventure, Drama",2006,7.8,FALSE
"Don't Worry, I'm Fine",movie,Drama,2006,7.3,FALSE
The Host,movie,"Drama, Horror, Sci-Fi",2006,7.1,FALSE
Bridge to Terabithia,movie,"Drama, Family, Fantasy",2007,7.2,FALSE
Mr. Bean's Holiday,movie,"Comedy, Family",2007,6.4,FALSE
300,movie,"Action, Drama",2006,7.6,FALSE
TMNT,movie,"Action, Adventure, Animation",2007,6.2,FALSE
3-Iron,movie,"Crime, Drama, Romance",2004,7.9,FALSE
"Torrente, the Dumb Arm of the Law",movie,"Comedy, Crime",1998,6.8,FALSE
Torrente 2: Mission in Marbella,movie,"Action, Comedy, Crime",2001,6.4,FALSE
Torrente 3: El protector,movie,"Comedy, Crime",2005,5.6,FALSE
Four Minutes,movie,"Drama, Music",2006,7.3,FALSE
American Psycho,movie,"Crime, Drama, Horror",2000,7.6,FALSE
Sex and Lucía,movie,"Drama, Romance",2001,7,FALSE
Monster's Ball,movie,"Drama, Romance",2001,7,FALSE
First Blood,movie,"Action, Adventure, Thriller",1982,7.7,FALSE
Rambo: First Blood Part II,movie,"Action, Adventure, Thriller",1985,6.5,FALSE
Rambo III,movie,"Action, Adventure, Thriller",1988,5.8,FALSE
Blood Diamond,movie,"Adventure, Drama, Thriller",2006,8,FALSE
The Pursuit of Happyness,movie,"Biography, Drama",2006,8,FALSE
Cutthroat Island,movie,"Action, Adventure, Comedy",1995,5.7,FALSE
"Sex, Lies, and Videotape",movie,Drama,1989,7.2,FALSE
Pan's Labyrinth,movie,"Drama, Fantasy, War",2006,8.2,FALSE
