Title,Type,Genre ID,Year,IMDB Score,Netflix Original
Ringu,movie,"50,64",1998,7.2,FALSE
The Other Side of the Bed,movie,"23,35,61",2002,6.4,FALSE
Indochine,movie,"35,73,107",1992,7,FALSE
15 Minutes,movie,"1,29,35",2001,6.1,FALSE
Addams Family Values,movie,"23,40",1993,6.8,FALSE
Rumor Has It...,movie,"23,35,73",2005,5.5,FALSE
Identity,movie,64103,2003,7.3,FALSE
Hunting and Gathering,movie,"35,73",2007,6.7,FALSE
As Good as It Gets,movie,"23,35,73",1997,7.7,FALSE
The Addams Family,movie,"23,40",1991,6.9,FALSE
License to Wed,movie,"23,73",2007,5.3,FALSE
Hairspray,movie,"23,35,61",2007,6.7,FALSE
One on Top of the Other,movie,"50,64,103",1969,6.6,FALSE
The Man Between,movie,"29,35,41",1953,7,FALSE
1408,movie,"40,50,64",2007,6.8,FALSE
Experiment in Evil,movie,"35,50,82",1959,6.5,FALSE
Ace Ventura: Pet Detective,movie,23,1994,6.9,FALSE
Frankenstein 90,movie,"23,35,50",1984,4.5,FALSE
Alvin and the Chipmunks Meet Frankenstein,movie,"12,23,37",1999,6,FALSE
Gangs of New York,movie,"29,35",2002,7.5,FALSE
The Horror of Frankenstein,movie,"23,50,82",1970,5.8,FALSE
Battle Royale,movie,"8,35,103",2000,7.5,FALSE
The Sensuous Assassin,movie,64103,1970,5.6,FALSE
The Hero,movie,"35,90",1970,5.2,FALSE
The Things of Life,movie,"35,73",1970,7.4,FALSE
Cesar & Rosalie,movie,"35,73",1972,7.3,FALSE
Max and the Junkmen,movie,"29,35,73",1971,7.3,FALSE
Mr. Brooks,movie,"29,35,64",2007,7.3,FALSE
That Most Important Thing: Love,movie,"35,73",1975,7,FALSE
88 Minutes,movie,"29,35,64",2007,5.9,FALSE
Under Siege 2: Dark Territory,movie,"1,8,103",1995,5.6,FALSE
U-571,movie,1107,2000,6.6,FALSE
Bagdad Cafe,movie,"23,35",1987,7.4,FALSE
After the Wedding,movie,35,2006,7.7,FALSE
"Girl, Interrupted",movie,"16,35",1999,7.3,FALSE
I Now Pronounce You Chuck & Larry,movie,"23,73",2007,5.9,FALSE
I Know What You Did Last Summer,movie,"50,64",1997,5.8,FALSE
Girl with a Pearl Earring,movie,"16,35,73",2003,6.9,FALSE
Flags of Our Fathers,movie,"1,8,35",2006,7.1,FALSE
Objective 500 Million,movie,"29,35,103",1966,6.1,FALSE
Dark Blue Almost Black,movie,"23,35,73",2006,7.1,FALSE
Brothers,movie,35107,2004,7.5,FALSE
Corpse Bride,movie,"12,23,35",2005,7.4,FALSE
MÃ©nage,movie,"23,29,35",1986,6.9,FALSE
What Women Want,movie,"23,40,73",2000,6.5,FALSE
Beetlejuice,movie,"23,40",1988,7.5,FALSE
My Girl,movie,"23,35,37",1991,6.9,FALSE
Law of Desire,movie,"23,35,103",1987,7.1,FALSE
The Down-in-the-Hole Gang,movie,"8,23,40",1974,6.2,FALSE
The Transporter,movie,"1,29,103",2002,6.8,FALSE
Blow,movie,"16,29,35",2001,7.5,FALSE
Vengeance of the Three Musketeers,movie,"8,73",1961,6.5,FALSE
Tell Her That I Love Her,movie,"35,64,73",1977,6.6,FALSE
Life Upside Down,movie,35,1964,7.3,FALSE
Bluebeard,movie,"16,29,35",1963,6.4,FALSE
Women on the Verge of a Nervous Breakdown,movie,"23,35",1988,7.5,FALSE
I Married a Shadow,movie,"35,73,103",1983,6.4,FALSE
Scream,movie,"50,64",1996,7.4,FALSE
Scream 2,movie,"50,64",1997,6.3,FALSE
Scream 3,movie,"50,64",2000,5.7,FALSE
Scary Movie,movie,23,2000,6.3,FALSE
Scary Movie 2,movie,"23,50",2001,5.4,FALSE
Chalte Chalte,movie,"35,73",2003,6.5,FALSE
Kal Ho Naa Ho,movie,"23,35,61",2003,7.9,FALSE
Scary Movie 3,movie,23,2003,5.6,FALSE
Scary Movie V,movie,"23,50",2013,3.5,FALSE
The Other One's Mug,movie,23,1979,6,FALSE
La garce,movie,"29,35,103",1984,5.3,FALSE
The Flower of My Secret,movie,"23,35",1995,7,FALSE
Charlie's Angels,movie,"1,8,23",2000,5.6,FALSE
Atonement,movie,"35,64,73",2007,7.8,FALSE
Pride & Prejudice,movie,"35,73",2005,7.8,FALSE
The Kingdom,movie,"1,35,103",2007,7,FALSE
The Lady Banker,movie,"23,35",1980,6.2,FALSE
Monster-in-Law,movie,"23,73",2005,5.6,FALSE
The Brave One,movie,"29,35,103",2007,6.7,FALSE
Les MisÃ©rables,movie,"29,35,73",1998,7.4,FALSE
Asoka,movie,"1,16,35",2001,6.4,FALSE
Legends of the Fall,movie,"35,73,107",1994,7.5,FALSE
Indecent Proposal,movie,"35,73",1993,6,FALSE
Diva,movie,"29,60,103",1981,7.1,FALSE
The Spirit of the Beehive,movie,"35,40",1973,7.8,FALSE
30 Days of Night,movie,50103,2007,6.6,FALSE
My Best Friend,movie,23,2006,6.6,FALSE
Conversations with My Gardener,movie,"23,35",2007,7.1,FALSE
Panic Room,movie,"29,35,103",2002,6.8,FALSE
Lady Vengeance,movie,"29,35,103",2005,7.5,FALSE
A Tale of Two Sisters,movie,"35,50,64",2003,7.1,FALSE
The Machinist,movie,35103,2004,7.6,FALSE
Sex and the City,movie,"23,35,73",2008,5.7,FALSE
Je t'aime moi non plus,movie,35,1976,5.9,FALSE
Sense and Sensibility,movie,"35,73",1995,7.7,FALSE
"Lust, Caution",movie,"35,48,73",2007,7.5,FALSE
Hot Fuzz,movie,"1,23,64",2007,7.8,FALSE
Best Seller,movie,"1,29,35",1987,6.4,FALSE
Ã–dipussi,movie,"23,73",1988,7.4,FALSE
Sympathy for Mr. Vengeance,movie,"29,35,103",2002,7.5,FALSE
